user_id,experiment_id,variant,assigned_at
u02_003376,exp_onboarding_B,treatment,2025-04-05T10:58:40Z
u02_007987,exp_onboarding_B,control,2025-04-05T12:16:21Z
u01_007886,exp_paywall_A,treatment,2025-03-01T11:13:52Z
u02_003333,exp_onboarding_B,treatment,2025-04-05T10:58:00Z
u01_009586,exp_paywall_A,treatment,2025-03-01T11:42:41Z
u01_006333,exp_paywall_A,control,2025-03-01T10:50:05Z
u03_004430,exp_pricing_C,treatment,2025-05-01T12:17:53Z
u02_008080,exp_onboarding_B,treatment,2025-04-05T12:17:56Z
u01_005202,exp_paywall_A,control,2025-03-01T10:30:43Z
u01_000748,exp_paywall_A,control,2025-03-01T09:15:15Z
u01_009761,exp_paywall_A,treatment,2025-03-01T11:42:49Z
u03_009613,exp_pricing_C,treatment,2025-05-01T13:41:58Z
u02_009993,exp_onboarding_B,control,2025-04-05T12:50:58Z
u03_003190,exp_pricing_C,control,2025-05-01T11:55:49Z
u03_005536,exp_pricing_C,control,2025-05-01T12:33:06Z
u02_007964,exp_onboarding_B,treatment,2025-04-05T12:15:24Z
u03_005247,exp_pricing_C,control,2025-05-01T12:27:42Z
u01_005082,exp_paywall_A,control,2025-03-01T10:26:45Z
u01_009351,exp_paywall_A,treatment,2025-03-01T11:40:28Z
u02_000983,exp_onboarding_B,control,2025-04-05T10:18:57Z
u03_003622,exp_pricing_C,treatment,2025-05-01T12:01:07Z
u02_003236,exp_onboarding_B,treatment,2025-04-05T10:57:49Z
u02_009368,exp_onboarding_B,control,2025-04-05T12:38:26Z
u01_001191,exp_paywall_A,control,2025-03-01T09:24:15Z
u01_000822,exp_paywall_A,treatment,2025-03-01T09:17:20Z
u02_005879,exp_onboarding_B,control,2025-04-05T11:40:32Z
u03_000498,exp_pricing_C,control,2025-05-01T11:13:00Z
u01_009420,exp_paywall_A,control,2025-03-01T11:39:52Z
u03_008101,exp_pricing_C,control,2025-05-01T13:17:18Z
u01_008893,exp_paywall_A,treatment,2025-03-01T11:30:08Z
u01_004462,exp_paywall_A,control,2025-03-01T10:15:17Z
u03_005230,exp_pricing_C,control,2025-05-01T12:27:14Z
u03_009986,exp_pricing_C,treatment,2025-05-01T13:47:11Z
u02_002607,exp_onboarding_B,treatment,2025-04-05T10:46:39Z
u03_005979,exp_pricing_C,control,2025-05-01T12:44:01Z
u02_009133,exp_onboarding_B,treatment,2025-04-05T12:32:54Z
u02_004741,exp_onboarding_B,control,2025-04-05T11:22:25Z
u02_002147,exp_onboarding_B,control,2025-04-05T10:37:16Z
u01_002745,exp_paywall_A,control,2025-03-01T09:45:55Z
u02_000115,exp_onboarding_B,treatment,2025-04-05T10:04:37Z
u01_002384,exp_paywall_A,treatment,2025-03-01T09:41:36Z
u01_009154,exp_paywall_A,treatment,2025-03-01T11:36:55Z
u01_001407,exp_paywall_A,control,2025-03-01T09:23:26Z
u02_006561,exp_onboarding_B,control,2025-04-05T11:50:20Z
u02_009362,exp_onboarding_B,treatment,2025-04-05T12:36:50Z
u02_000343,exp_onboarding_B,control,2025-04-05T10:07:44Z
u03_007757,exp_pricing_C,treatment,2025-05-01T13:11:19Z
u02_007615,exp_onboarding_B,control,2025-04-05T12:11:16Z
u02_009907,exp_onboarding_B,control,2025-04-05T12:49:22Z
u03_004531,exp_pricing_C,control,2025-05-01T12:15:59Z
u03_007309,exp_pricing_C,control,2025-05-01T13:05:26Z
u02_007789,exp_onboarding_B,control,2025-04-05T12:12:54Z
u02_003076,exp_onboarding_B,control,2025-04-05T10:53:59Z
u03_002090,exp_pricing_C,control,2025-05-01T11:35:10Z
u03_008574,exp_pricing_C,control,2025-05-01T13:25:35Z
u03_000569,exp_pricing_C,treatment,2025-05-01T11:11:40Z
u02_007891,exp_onboarding_B,treatment,2025-04-05T12:13:32Z
u02_006838,exp_onboarding_B,treatment,2025-04-05T11:57:16Z
u01_006553,exp_paywall_A,treatment,2025-03-01T10:51:42Z
u02_009638,exp_onboarding_B,control,2025-04-05T12:43:40Z
u02_008295,exp_onboarding_B,treatment,2025-04-05T12:18:40Z
u01_002877,exp_paywall_A,treatment,2025-03-01T09:51:53Z
u01_002983,exp_paywall_A,control,2025-03-01T09:53:24Z
u02_007411,exp_onboarding_B,treatment,2025-04-05T12:08:02Z
u02_005163,exp_onboarding_B,treatment,2025-04-05T11:30:15Z
u01_002154,exp_paywall_A,treatment,2025-03-01T09:36:50Z
u02_008701,exp_onboarding_B,control,2025-04-05T12:26:25Z
u01_007668,exp_paywall_A,control,2025-03-01T11:09:01Z
u02_005244,exp_onboarding_B,treatment,2025-04-05T11:29:04Z
u02_006858,exp_onboarding_B,control,2025-04-05T11:57:57Z
u02_003962,exp_onboarding_B,control,2025-04-05T11:06:27Z
u01_000218,exp_paywall_A,control,2025-03-01T09:07:28Z
u03_003288,exp_pricing_C,control,2025-05-01T11:56:09Z
u01_002214,exp_paywall_A,control,2025-03-01T09:40:17Z
u01_006581,exp_paywall_A,control,2025-03-01T10:51:49Z
u03_007603,exp_pricing_C,control,2025-05-01T13:10:49Z
u02_009377,exp_onboarding_B,control,2025-04-05T12:38:38Z
u01_007540,exp_paywall_A,treatment,2025-03-01T11:08:32Z
u02_004977,exp_onboarding_B,treatment,2025-04-05T11:24:05Z
u02_000129,exp_onboarding_B,control,2025-04-05T10:06:02Z
u01_005706,exp_paywall_A,control,2025-03-01T10:36:22Z
u01_005954,exp_paywall_A,treatment,2025-03-01T10:43:29Z
u01_000539,exp_paywall_A,treatment,2025-03-01T09:12:39Z
u03_001664,exp_pricing_C,treatment,2025-05-01T11:27:45Z
u03_001568,exp_pricing_C,treatment,2025-05-01T11:27:24Z
u03_008983,exp_pricing_C,control,2025-05-01T13:30:56Z
u01_007428,exp_paywall_A,control,2025-03-01T11:07:32Z
u03_000726,exp_pricing_C,control,2025-05-01T11:15:18Z
u01_004182,exp_paywall_A,control,2025-03-01T10:12:05Z
u02_008702,exp_onboarding_B,control,2025-04-05T12:26:46Z
u02_005415,exp_onboarding_B,control,2025-04-05T11:34:44Z
u02_002155,exp_onboarding_B,control,2025-04-05T10:38:08Z
u01_000580,exp_paywall_A,treatment,2025-03-01T09:12:02Z
u01_002169,exp_paywall_A,treatment,2025-03-01T09:39:03Z
u03_004420,exp_pricing_C,treatment,2025-05-01T12:16:06Z
u01_000251,exp_paywall_A,treatment,2025-03-01T09:05:21Z
u02_005693,exp_onboarding_B,treatment,2025-04-05T11:36:38Z
u01_009972,exp_paywall_A,control,2025-03-01T11:50:58Z
u02_006181,exp_onboarding_B,treatment,2025-04-05T11:45:59Z
u02_001490,exp_onboarding_B,treatment,2025-04-05T10:28:17Z
u01_009145,exp_paywall_A,treatment,2025-03-01T11:35:25Z
u03_009433,exp_pricing_C,treatment,2025-05-01T13:42:04Z
u03_005791,exp_pricing_C,treatment,2025-05-01T12:40:58Z
u01_005772,exp_paywall_A,treatment,2025-03-01T10:37:21Z
u03_006747,exp_pricing_C,treatment,2025-05-01T12:56:08Z
u01_002326,exp_paywall_A,control,2025-03-01T09:42:57Z
u02_005431,exp_onboarding_B,control,2025-04-05T11:30:33Z
u01_000431,exp_paywall_A,control,2025-03-01T09:07:37Z
u02_000769,exp_onboarding_B,treatment,2025-04-05T10:15:55Z
u01_002533,exp_paywall_A,treatment,2025-03-01T09:44:22Z
u01_002458,exp_paywall_A,treatment,2025-03-01T09:43:18Z
u02_009187,exp_onboarding_B,control,2025-04-05T12:34:44Z
u03_007236,exp_pricing_C,treatment,2025-05-01T13:02:21Z
u03_002292,exp_pricing_C,control,2025-05-01T11:39:52Z
u02_001213,exp_onboarding_B,treatment,2025-04-05T10:21:25Z
u01_000506,exp_paywall_A,control,2025-03-01T09:09:02Z
u03_003113,exp_pricing_C,control,2025-05-01T11:55:18Z
u02_008780,exp_onboarding_B,treatment,2025-04-05T12:30:05Z
u02_009083,exp_onboarding_B,treatment,2025-04-05T12:34:04Z
u02_007895,exp_onboarding_B,control,2025-04-05T12:16:33Z
u02_009007,exp_onboarding_B,treatment,2025-04-05T12:34:18Z
u02_009691,exp_onboarding_B,control,2025-04-05T12:45:25Z
u03_007094,exp_pricing_C,control,2025-05-01T13:02:27Z
u03_003180,exp_pricing_C,treatment,2025-05-01T11:57:41Z
u02_002627,exp_onboarding_B,control,2025-04-05T10:47:08Z
u01_003835,exp_paywall_A,treatment,2025-03-01T10:04:08Z
u01_001331,exp_paywall_A,control,2025-03-01T09:23:39Z
u03_001467,exp_pricing_C,treatment,2025-05-01T11:25:38Z
u03_003829,exp_pricing_C,control,2025-05-01T12:07:26Z
u01_002542,exp_paywall_A,control,2025-03-01T09:46:24Z
u03_008613,exp_pricing_C,control,2025-05-01T13:28:04Z
u03_001996,exp_pricing_C,control,2025-05-01T11:34:48Z
u02_001900,exp_onboarding_B,treatment,2025-04-05T10:33:58Z
u03_005873,exp_pricing_C,treatment,2025-05-01T12:41:50Z
u03_006226,exp_pricing_C,treatment,2025-05-01T12:45:10Z
u02_005806,exp_onboarding_B,control,2025-04-05T11:40:07Z
u01_009556,exp_paywall_A,treatment,2025-03-01T11:40:33Z
u01_007568,exp_paywall_A,control,2025-03-01T11:06:37Z
u01_003508,exp_paywall_A,control,2025-03-01T10:03:13Z
u01_008835,exp_paywall_A,treatment,2025-03-01T11:27:21Z
u02_008785,exp_onboarding_B,treatment,2025-04-05T12:29:30Z
u03_009858,exp_pricing_C,control,2025-05-01T13:46:31Z
u03_003588,exp_pricing_C,control,2025-05-01T12:02:27Z
u03_008268,exp_pricing_C,treatment,2025-05-01T13:19:01Z
u01_005845,exp_paywall_A,treatment,2025-03-01T10:39:29Z
u03_006477,exp_pricing_C,treatment,2025-05-01T12:50:04Z
u03_004199,exp_pricing_C,treatment,2025-05-01T12:10:07Z
u03_008882,exp_pricing_C,treatment,2025-05-01T13:30:26Z
u01_004846,exp_paywall_A,control,2025-03-01T10:23:30Z
u01_004986,exp_paywall_A,control,2025-03-01T10:25:21Z
u03_003400,exp_pricing_C,treatment,2025-05-01T11:58:58Z
u03_005570,exp_pricing_C,treatment,2025-05-01T12:33:53Z
u03_000263,exp_pricing_C,treatment,2025-05-01T11:07:04Z
u03_000857,exp_pricing_C,control,2025-05-01T11:17:06Z
u03_006823,exp_pricing_C,control,2025-05-01T12:54:54Z
u01_009318,exp_paywall_A,control,2025-03-01T11:38:27Z
u03_005507,exp_pricing_C,control,2025-05-01T12:34:15Z
u02_004848,exp_onboarding_B,treatment,2025-04-05T11:21:47Z
u01_007843,exp_paywall_A,treatment,2025-03-01T11:12:57Z
u03_008648,exp_pricing_C,treatment,2025-05-01T13:26:45Z
u03_009985,exp_pricing_C,control,2025-05-01T13:48:09Z
u02_003049,exp_onboarding_B,control,2025-04-05T10:51:48Z
u03_005100,exp_pricing_C,control,2025-05-01T12:25:57Z
u02_004857,exp_onboarding_B,treatment,2025-04-05T11:21:44Z
u03_005014,exp_pricing_C,control,2025-05-01T12:28:24Z
u02_000740,exp_onboarding_B,control,2025-04-05T10:13:19Z
u02_006095,exp_onboarding_B,treatment,2025-04-05T11:44:15Z
u01_002209,exp_paywall_A,control,2025-03-01T09:40:16Z
u02_008841,exp_onboarding_B,control,2025-04-05T12:27:51Z
u03_008273,exp_pricing_C,treatment,2025-05-01T13:22:16Z
u03_002373,exp_pricing_C,control,2025-05-01T11:40:05Z
u01_002267,exp_paywall_A,control,2025-03-01T09:42:19Z
u01_005227,exp_paywall_A,control,2025-03-01T10:30:01Z
u03_008302,exp_pricing_C,treatment,2025-05-01T13:21:36Z
u03_001579,exp_pricing_C,control,2025-05-01T11:30:40Z
u03_000123,exp_pricing_C,control,2025-05-01T11:04:40Z
u02_007893,exp_onboarding_B,treatment,2025-04-05T12:14:36Z
u03_000928,exp_pricing_C,control,2025-05-01T11:18:21Z
u02_003023,exp_onboarding_B,treatment,2025-04-05T10:50:52Z
u03_000737,exp_pricing_C,treatment,2025-05-01T11:14:50Z
u03_007367,exp_pricing_C,treatment,2025-05-01T13:03:58Z
u02_001741,exp_onboarding_B,treatment,2025-04-05T10:33:24Z
u01_006548,exp_paywall_A,treatment,2025-03-01T10:53:26Z
u01_003283,exp_paywall_A,control,2025-03-01T09:57:34Z
u02_005615,exp_onboarding_B,treatment,2025-04-05T11:35:22Z
u03_003662,exp_pricing_C,control,2025-05-01T12:04:19Z
u01_002277,exp_paywall_A,control,2025-03-01T09:40:34Z
u03_006051,exp_pricing_C,treatment,2025-05-01T12:42:03Z
u02_002355,exp_onboarding_B,treatment,2025-04-05T10:39:28Z
u02_006486,exp_onboarding_B,control,2025-04-05T11:50:53Z
u02_009536,exp_onboarding_B,control,2025-04-05T12:41:49Z
u02_008674,exp_onboarding_B,control,2025-04-05T12:25:56Z
u01_008697,exp_paywall_A,control,2025-03-01T11:29:20Z
u03_002565,exp_pricing_C,control,2025-05-01T11:44:20Z
u02_006380,exp_onboarding_B,treatment,2025-04-05T11:48:54Z
u03_005295,exp_pricing_C,treatment,2025-05-01T12:30:15Z
u03_008681,exp_pricing_C,treatment,2025-05-01T13:28:09Z
u03_004992,exp_pricing_C,control,2025-05-01T12:25:09Z
u03_009670,exp_pricing_C,treatment,2025-05-01T13:41:42Z
u01_005837,exp_paywall_A,treatment,2025-03-01T10:39:17Z
u02_000236,exp_onboarding_B,control,2025-04-05T10:04:16Z
u03_002825,exp_pricing_C,treatment,2025-05-01T11:50:19Z
u01_000280,exp_paywall_A,control,2025-03-01T09:07:33Z
u03_002377,exp_pricing_C,control,2025-05-01T11:44:15Z
u03_005274,exp_pricing_C,control,2025-05-01T12:28:06Z
u01_005161,exp_paywall_A,treatment,2025-03-01T10:26:02Z
u03_009753,exp_pricing_C,treatment,2025-05-01T13:43:26Z
u01_003691,exp_paywall_A,control,2025-03-01T10:02:34Z
u01_005916,exp_paywall_A,control,2025-03-01T10:38:44Z
u02_001579,exp_onboarding_B,treatment,2025-04-05T10:27:44Z
u02_008079,exp_onboarding_B,control,2025-04-05T12:15:38Z
u02_009537,exp_onboarding_B,treatment,2025-04-05T12:42:31Z
u03_006024,exp_pricing_C,treatment,2025-05-01T12:40:39Z
u03_009720,exp_pricing_C,treatment,2025-05-01T13:44:51Z
u03_001740,exp_pricing_C,treatment,2025-05-01T11:33:35Z
u03_005744,exp_pricing_C,control,2025-05-01T12:36:59Z
u03_000553,exp_pricing_C,control,2025-05-01T11:09:59Z
u02_001703,exp_onboarding_B,control,2025-04-05T10:32:37Z
u02_001515,exp_onboarding_B,control,2025-04-05T10:27:39Z
u01_009007,exp_paywall_A,control,2025-03-01T11:32:13Z
u02_001743,exp_onboarding_B,treatment,2025-04-05T10:30:12Z
u03_008262,exp_pricing_C,control,2025-05-01T13:20:24Z
u02_006470,exp_onboarding_B,control,2025-04-05T11:49:43Z
u02_003677,exp_onboarding_B,treatment,2025-04-05T11:05:02Z
u03_000164,exp_pricing_C,treatment,2025-05-01T11:04:00Z
u02_006786,exp_onboarding_B,control,2025-04-05T11:53:16Z
u03_009323,exp_pricing_C,control,2025-05-01T13:40:07Z
u02_005694,exp_onboarding_B,treatment,2025-04-05T11:36:23Z
u02_007336,exp_onboarding_B,treatment,2025-04-05T12:03:26Z
u01_003736,exp_paywall_A,control,2025-03-01T10:02:36Z
u03_005485,exp_pricing_C,control,2025-05-01T12:34:07Z
u01_003644,exp_paywall_A,control,2025-03-01T10:01:31Z
u01_007199,exp_paywall_A,control,2025-03-01T11:00:33Z
u03_005366,exp_pricing_C,treatment,2025-05-01T12:31:22Z
u03_004937,exp_pricing_C,treatment,2025-05-01T12:23:59Z
u03_001306,exp_pricing_C,control,2025-05-01T11:25:53Z
u03_009366,exp_pricing_C,treatment,2025-05-01T13:36:25Z
u03_001524,exp_pricing_C,treatment,2025-05-01T11:28:21Z
u03_001719,exp_pricing_C,control,2025-05-01T11:31:07Z
u01_001838,exp_paywall_A,control,2025-03-01T09:32:28Z
u03_009916,exp_pricing_C,control,2025-05-01T13:49:25Z
u02_000985,exp_onboarding_B,treatment,2025-04-05T10:20:08Z
u01_009304,exp_paywall_A,control,2025-03-01T11:39:46Z
u02_002800,exp_onboarding_B,treatment,2025-04-05T10:46:39Z
u01_001458,exp_paywall_A,treatment,2025-03-01T09:28:29Z
u01_001093,exp_paywall_A,control,2025-03-01T09:18:46Z
u01_004150,exp_paywall_A,treatment,2025-03-01T10:09:18Z
u02_001009,exp_onboarding_B,treatment,2025-04-05T10:20:29Z
u03_007069,exp_pricing_C,control,2025-05-01T12:57:52Z
u01_009190,exp_paywall_A,control,2025-03-01T11:37:37Z
u01_004933,exp_paywall_A,treatment,2025-03-01T10:23:00Z
u02_004466,exp_onboarding_B,control,2025-04-05T11:15:52Z
u01_004557,exp_paywall_A,control,2025-03-01T10:17:44Z
u02_001489,exp_onboarding_B,treatment,2025-04-05T10:29:09Z
u02_002075,exp_onboarding_B,control,2025-04-05T10:35:10Z
u03_005102,exp_pricing_C,treatment,2025-05-01T12:27:27Z
u02_006798,exp_onboarding_B,treatment,2025-04-05T11:58:03Z
u03_000071,exp_pricing_C,control,2025-05-01T11:03:18Z
u02_004419,exp_onboarding_B,treatment,2025-04-05T11:17:11Z
u03_008246,exp_pricing_C,treatment,2025-05-01T13:20:44Z
u03_005390,exp_pricing_C,control,2025-05-01T12:33:28Z
u03_004997,exp_pricing_C,control,2025-05-01T12:25:09Z
u02_007279,exp_onboarding_B,control,2025-04-05T12:05:17Z
u01_006482,exp_paywall_A,control,2025-03-01T10:52:28Z
u01_008021,exp_paywall_A,control,2025-03-01T11:18:05Z
u01_009101,exp_paywall_A,control,2025-03-01T11:36:09Z
u02_007477,exp_onboarding_B,control,2025-04-05T12:09:06Z
u01_008590,exp_paywall_A,control,2025-03-01T11:26:33Z
u03_009162,exp_pricing_C,control,2025-05-01T13:34:43Z
u03_004516,exp_pricing_C,control,2025-05-01T12:19:17Z
u03_007275,exp_pricing_C,control,2025-05-01T13:03:41Z
u03_003873,exp_pricing_C,control,2025-05-01T12:05:46Z
u03_009364,exp_pricing_C,treatment,2025-05-01T13:38:21Z
u01_001504,exp_paywall_A,treatment,2025-03-01T09:26:38Z
u01_009937,exp_paywall_A,control,2025-03-01T11:47:07Z
u02_000940,exp_onboarding_B,treatment,2025-04-05T10:19:20Z
u03_000295,exp_pricing_C,treatment,2025-05-01T11:06:37Z
u01_003950,exp_paywall_A,treatment,2025-03-01T10:10:02Z
u01_006439,exp_paywall_A,control,2025-03-01T10:48:07Z
u02_003620,exp_onboarding_B,control,2025-04-05T11:05:06Z
u02_004304,exp_onboarding_B,treatment,2025-04-05T11:13:34Z
u03_002094,exp_pricing_C,control,2025-05-01T11:38:48Z
u02_005949,exp_onboarding_B,control,2025-04-05T11:42:59Z
u03_008190,exp_pricing_C,treatment,2025-05-01T13:18:15Z
u02_003065,exp_onboarding_B,treatment,2025-04-05T10:53:51Z
u02_003251,exp_onboarding_B,treatment,2025-04-05T10:57:06Z
u03_009167,exp_pricing_C,treatment,2025-05-01T13:37:39Z
u01_007744,exp_paywall_A,treatment,2025-03-01T11:13:40Z
u03_006227,exp_pricing_C,treatment,2025-05-01T12:48:16Z
u01_007756,exp_paywall_A,treatment,2025-03-01T11:11:04Z
u01_001413,exp_paywall_A,treatment,2025-03-01T09:23:47Z
u01_006529,exp_paywall_A,control,2025-03-01T10:53:03Z
u01_001123,exp_paywall_A,control,2025-03-01T09:22:25Z
u02_006334,exp_onboarding_B,control,2025-04-05T11:47:52Z
u01_005246,exp_paywall_A,control,2025-03-01T10:28:49Z
u02_002153,exp_onboarding_B,control,2025-04-05T10:38:55Z
u02_009641,exp_onboarding_B,control,2025-04-05T12:42:35Z
u03_005208,exp_pricing_C,control,2025-05-01T12:31:09Z
u01_009434,exp_paywall_A,treatment,2025-03-01T11:40:18Z
u01_007469,exp_paywall_A,treatment,2025-03-01T11:06:51Z
u03_009012,exp_pricing_C,control,2025-05-01T13:32:37Z
u02_001032,exp_onboarding_B,treatment,2025-04-05T10:19:11Z
u03_009443,exp_pricing_C,control,2025-05-01T13:37:52Z
u01_007294,exp_paywall_A,treatment,2025-03-01T11:03:29Z
u02_002972,exp_onboarding_B,treatment,2025-04-05T10:50:08Z
u01_005347,exp_paywall_A,treatment,2025-03-01T10:30:46Z
u02_004471,exp_onboarding_B,control,2025-04-05T11:16:45Z
u03_008812,exp_pricing_C,control,2025-05-01T13:29:29Z
u02_005963,exp_onboarding_B,treatment,2025-04-05T11:43:08Z
u03_004275,exp_pricing_C,control,2025-05-01T12:14:42Z
u03_001150,exp_pricing_C,control,2025-05-01T11:22:52Z
u02_000864,exp_onboarding_B,control,2025-04-05T10:16:37Z
u02_007755,exp_onboarding_B,control,2025-04-05T12:12:08Z
u01_004485,exp_paywall_A,control,2025-03-01T10:16:28Z
u02_000561,exp_onboarding_B,control,2025-04-05T10:10:23Z
u03_004578,exp_pricing_C,treatment,2025-05-01T12:20:51Z
u03_000327,exp_pricing_C,control,2025-05-01T11:05:50Z
u03_001717,exp_pricing_C,control,2025-05-01T11:30:24Z
u02_000599,exp_onboarding_B,control,2025-04-05T10:13:49Z
u01_001434,exp_paywall_A,treatment,2025-03-01T09:27:12Z
u01_005861,exp_paywall_A,control,2025-03-01T10:40:11Z
u02_002427,exp_onboarding_B,treatment,2025-04-05T10:41:17Z
u02_000981,exp_onboarding_B,treatment,2025-04-05T10:18:52Z
u03_002045,exp_pricing_C,treatment,2025-05-01T11:38:56Z
u03_007831,exp_pricing_C,treatment,2025-05-01T13:12:40Z
u03_003078,exp_pricing_C,control,2025-05-01T11:53:45Z
u03_006377,exp_pricing_C,treatment,2025-05-01T12:50:49Z
u02_000407,exp_onboarding_B,control,2025-04-05T10:06:58Z
u03_003491,exp_pricing_C,control,2025-05-01T11:58:58Z
u02_009567,exp_onboarding_B,control,2025-04-05T12:41:47Z
u02_001473,exp_onboarding_B,treatment,2025-04-05T10:25:40Z
u02_002064,exp_onboarding_B,control,2025-04-05T10:34:48Z
u01_008932,exp_paywall_A,treatment,2025-03-01T11:30:42Z
u02_000969,exp_onboarding_B,control,2025-04-05T10:18:07Z
u03_007756,exp_pricing_C,treatment,2025-05-01T13:11:51Z
u03_006848,exp_pricing_C,treatment,2025-05-01T12:58:39Z
u01_001611,exp_paywall_A,control,2025-03-01T09:31:43Z
u03_009237,exp_pricing_C,control,2025-05-01T13:34:46Z
u02_006267,exp_onboarding_B,treatment,2025-04-05T11:45:27Z
u02_002394,exp_onboarding_B,treatment,2025-04-05T10:44:28Z
u03_006840,exp_pricing_C,treatment,2025-05-01T12:54:47Z
u01_002768,exp_paywall_A,control,2025-03-01T09:49:52Z
u02_002777,exp_onboarding_B,control,2025-04-05T10:49:47Z
u03_003177,exp_pricing_C,control,2025-05-01T11:57:10Z
u01_000217,exp_paywall_A,control,2025-03-01T09:05:50Z
u03_004877,exp_pricing_C,control,2025-05-01T12:26:06Z
u01_006166,exp_paywall_A,treatment,2025-03-01T10:43:47Z
u01_003902,exp_paywall_A,control,2025-03-01T10:06:05Z
u03_001232,exp_pricing_C,treatment,2025-05-01T11:22:56Z
u03_004637,exp_pricing_C,treatment,2025-05-01T12:18:41Z
u01_010000,exp_paywall_A,treatment,2025-03-01T11:50:10Z
u02_004798,exp_onboarding_B,treatment,2025-04-05T11:23:01Z
u01_006088,exp_paywall_A,control,2025-03-01T10:45:10Z
